"","lat","lng","type","distance","site","state","latitude","longitude"
"233",36.3724809,-100.8019755,"Essential Services",23368.9758432816,"1009999","Texas",36.2653,-101.026
"234",36.372609,-100.8019138,"Essential Services",23381.0026138909,"1009999","Texas",36.2653,-101.026
"235",36.3940179,-100.8149443,"Essential Services",23739.7301920279,"1009999","Texas",36.2653,-101.026
"236",36.3908924,-100.8035151,"Essential Services",24363.7632628547,"1009999","Texas",36.2653,-101.026
"237",36.3916578,-100.8022328,"Essential Services",24506.757929952,"1009999","Texas",36.2653,-101.026
"238",36.3951998,-100.8030373,"Essential Services",24676.3082111618,"1009999","Texas",36.2653,-101.026
"239",36.3972419,-100.8024677,"Essential Services",24851.1804547492,"1009999","Texas",36.2653,-101.026
"240",36.3983276,-100.8025023,"Essential Services",24920.1941560398,"1009999","Texas",36.2653,-101.026
"241",36.4028255,-100.7843317,"Essential Services",26533.8512527251,"1009999","Texas",36.2653,-101.026
"242",32.9733139,-102.8187785,"Essential Services",3347.01274272577,"1011767","Texas",33.00338,-102.81901
"243",32.9720623,-102.829681,"Essential Services",3625.86112679753,"1011767","Texas",33.00338,-102.81901
"244",32.9703062,-102.8187962,"Essential Services",3681.81269756632,"1011767","Texas",33.00338,-102.81901
"245",33.1874872,-102.8285023,"Essential Services",20513.8293572726,"1011767","Texas",33.00338,-102.81901
"246",32.9412855,-102.5649704,"Essential Services",24711.1265320213,"1011767","Texas",33.00338,-102.81901
"247",32.9682461,-102.8285685,"Essential Services",4011.63502710163,"1011767","Texas",33.00338,-102.81901
"248",33.1874664,-102.8297241,"Essential Services",20516.7495364109,"1011767","Texas",33.00338,-102.81901
"249",32.9406351,-102.5625524,"Essential Services",24948.2660892378,"1011767","Texas",33.00338,-102.81901
"250",32.974376,-102.8289437,"Essential Services",3359.29830483665,"1011767","Texas",33.00338,-102.81901
"251",32.9675581,-102.8307912,"Essential Services",4136.63265126337,"1011767","Texas",33.00338,-102.81901
"252",33.1826819,-102.817818,"Essential Services",19960.1057841738,"1011767","Texas",33.00338,-102.81901
"253",33.1886906,-102.8298179,"Essential Services",20653.2909368468,"1011767","Texas",33.00338,-102.81901
"254",32.9420959,-102.5631278,"Essential Services",24851.3617449055,"1011767","Texas",33.00338,-102.81901
"255",33.1891966,-102.8289035,"Essential Services",20705.5763908783,"1011767","Texas",33.00338,-102.81901
"256",33.1892544,-102.8288816,"Essential Services",20711.913375072,"1011767","Texas",33.00338,-102.81901
"257",32.9418152,-102.5612289,"Essential Services",25030.5071553026,"1011767","Texas",33.00338,-102.81901
"258",32.9672988,-102.8289426,"Essential Services",4122.2314399586,"1011767","Texas",33.00338,-102.81901
"259",32.9665314,-102.8308833,"Essential Services",4249.15501151421,"1011767","Texas",33.00338,-102.81901
"260",32.96381,-102.821581,"Essential Services",4411.44959544476,"1011767","Texas",33.00338,-102.81901
"261",32.9647788,-102.8308439,"Essential Services",4436.87248554243,"1011767","Texas",33.00338,-102.81901
"262",32.9648067,-102.8311331,"Essential Services",4440.67173345702,"1011767","Texas",33.00338,-102.81901
